	en	zh
DefaultFontName	Segoe UI	微软雅黑
en	English	英文
zh	Chinese	中文
Menu_AppTitle	Jeek EasyTier Manager	Jeek EasyTier 管理器
Menu_ShowHide	Show/Hide Jeek EasyTier Manager	显示/隐藏 Jeek EasyTier 管理器
Menu_RestartService	Restart Service	重启服务
Menu_StopService	Stop Service	停止服务
Menu_Exit	Exit	退出
Settings_Title	Settings	设置
Settings_ThemeLight	Light	浅色
Settings_ThemeDark	Dark	深色
Settings_ThemeSystem	Follow System	跟随系统
Settings_Language	Language	语言
Settings_LanguageSystem	Follow System	跟随系统
Settings_StorageLocation	Storage Location	存储位置
Settings_StorageDefault	Default	默认
Settings_StoragePortable	Portable	便携
Settings_StorageCustom	Custom	自定义
Settings_Browse	Browse…	浏览…
Settings_StartOnBoot	Start on Boot	开机启动
Settings_DisableMirror	Disable Mirror Download	禁止镜像下载
Settings_AutoUpdateEasyTier	Auto-update EasyTier	自动更新 EasyTier
Settings_AutoUpdateMe	Auto-update Me	自动更新我
Settings_UpdateInterval	Update Check Frequency	检查更新频率
Settings_Every6Hours	Every 6 Hours	每 6 小时
Settings_Daily	Daily	每天
Settings_Weekly	Weekly	每周
Settings_Never	Never	无
Settings_EasyTierNotInstalled	EasyTier is not installed	EasyTier 未安装
Settings_UpdateEasyTier	Update EasyTier	更新 EasyTier
Settings_UpdateMe	Update Me	更新我
Settings_SyncPassword	Sync Password	同步密码
Settings_HomePage	Project Home	项目主页
Settings_SetStartOnBootFailed	Failed to set start on boot: {0}	设置开机启动失败：{0}
Storage_PickerTitle	Choose storage directory	选择存储目录
Storage_NotLocalFolder	The selected folder is not a local directory.	所选文件夹不是本地目录。
Storage_ChooseFailed	Failed to choose storage directory: {0}	选择存储目录失败：{0}
Storage_CannotUse	Cannot use storage directory: {0}	无法使用存储目录：{0}
Storage_SwitchTitle	Switch Storage Location	切换存储位置
Storage_SwitchConfirm	Configs will be migrated from\n{0}\nto\n{1}\n\nRelated services will be stopped, reinstalled and restarted. Continue?	将把配置从\n{0}\n迁移到\n{1}\n\n相关服务会被停止、重新安装并重启。是否继续？
Storage_Migrating	Migrating storage from {0} to {1}...	正在将存储从 {0} 迁移到 {1}……
Storage_MigrationFailed	Migration failed: {0}. Keeping the old location.	迁移失败：{0}。保持原位置。
Storage_LocationNow	Storage location is now {0}	存储位置现在为 {0}
EditConfigs_Title	Edit Config	编辑配置
EditConfigs_Name	Name	名称
EditConfigs_HostName	Hostname	主机名称
EditConfigs_HostNamePlaceholder	Leave empty to use the machine hostname	留空默认使用主机名称
EditConfigs_NetworkName	Network Name	网络名称
EditConfigs_NetworkNamePlaceholder	Be sure to set this for personal use, otherwise you are unprotected.	个人使用请务必设置，否则相当于裸奔。
EditConfigs_NetworkPassword	Network Password	网络密码
EditConfigs_NetworkSecretPlaceholder	Be sure to set this for personal use, otherwise you are unprotected.	个人使用请务必设置，否则相当于裸奔。
EditConfigs_RandomGenerate	Generate Random	随机生成
EditConfigs_EditIpv4Address	Edit Virtual IPv4 Address	修改虚拟 IPv4 地址
EditConfigs_Ipv4Placeholder	Virtual adapter address used to reach this node. Subnet proxy offers another access method.	虚拟网卡的地址，用来访问这个节点。子网代理则提供了另一种访问方式。
EditConfigs_EditPeers	Edit Connection Servers	修改连接服务器
EditConfigs_OfficialServer	Official Server	官方服务器
EditConfigs_PeersPlaceholder	Example: tcp://xxx.net:11010, multiple lines allowed	例如：tcp://xxx.net:11010，可多行
EditConfigs_EditListeners	Edit Listen Addresses	修改监听地址
EditConfigs_ListenersPlaceholder	Example: tcp://0.0.0.0:11010, multiple lines allowed	例如：tcp://0.0.0.0:11010，可多行
EditConfigs_EditRpcPortal	Edit Info Listen Address and Port	编辑信息监听地址和端口
EditConfigs_DefaultValue	Default	默认值
EditConfigs_RpcPortalPlaceholder	Required to view connection status, e.g. 127.0.0.1:15888	查看连接状态必备，例如：127.0.0.1:15888
EditConfigs_EditProxyNetworks	Edit Subnet Proxy	修改子网代理
EditConfigs_CurrentSubnet	Current Subnet	当前子网
EditConfigs_ProxyNetworksPlaceholder	Let other nodes access any address in the subnet. Example: 192.168.1.0/24, multiple lines allowed	让其他节点访问子网的任意地址。例如：192.168.1.0/24，可多行
EditConfigs_EditFileLogger	Edit Log File	修改日志文件
EditConfigs_EnableFileLogger	Enable Log File	启用日志文件
EditConfigs_FileLoggerName	File Name (forced to config name, not editable)	文件名（强制为配置名，不可修改）
EditConfigs_FileLoggerLevel	Log Level	日志级别
EditConfigs_FileLoggerDir	Log Directory (absolute path only)	日志目录（仅支持绝对路径）
EditConfigs_FileLoggerDirPlaceholder	Example: C:\EasyTier\Logs	例如：C:\EasyTier\Logs
EditConfigs_LatencyFirst	Enable Latency-First Mode	开启延迟优先模式
EditConfigs_LatencyFirstDesc	Ignore relay hop count and choose the path with the lowest total latency.	忽略中转跳数，选择总延迟最低的路径。
EditConfigs_UseSmoltcp	Use User-Space Network Stack	使用用户态协议栈
EditConfigs_UseSmoltcpDesc	Use a user-space TCP/IP stack to avoid OS firewall issues that block subnet proxy / KCP proxy.	使用用户态 TCP/IP 协议栈，避免操作系统防火墙问题导致无法子网代理 / KCP 代理。
EditConfigs_DisableIpv6	Disable IPv6	禁用 IPv6
EditConfigs_DisableIpv6Desc	Disable IPv6 and use only IPv4 to establish connections and assign addresses.	禁用 IPv6 功能，仅使用 IPv4 建立连接和分配地址。
EditConfigs_Ipv6PublicAddrAuto	Auto Use Public IPv6	自动使用公网 IPv6
